	loss	val_loss	batch_size	dataset	depth	epochs	first_layer	kappa	learning_rate	num_components	seed
0	5369.086266308923	8220.711862275095	25	TARGET	1	100	100	1.0	0.0005	75	1384
1	5026.817063045823	6219.345873283617	25	TARGET	1	100	100	1.0	0.0005	75	1384
2	4815.667589797717	5769.238266453598	25	TARGET	1	100	100	1.0	0.0005	75	1384
3	4697.63753830624	4908.701253255208	25	TARGET	1	100	100	1.0	0.0005	75	1384
4	4627.164665864373	4949.034904711174	25	TARGET	1	100	100	1.0	0.0005	75	1384
5	4580.672643590857	4648.989923650568	25	TARGET	1	100	100	1.0	0.0005	75	1384
6	4527.61613942156	4772.872699159564	25	TARGET	1	100	100	1.0	0.0005	75	1384
7	4497.124630911984	4712.891068892045	25	TARGET	1	100	100	1.0	0.0005	75	1384
8	4484.661562730166	4621.867009943182	25	TARGET	1	100	100	1.0	0.0005	75	1384
9	4477.533289437342	4658.465509588068	25	TARGET	1	100	100	1.0	0.0005	75	1384
10	4444.883350102588	4518.874615293561	25	TARGET	1	100	100	1.0	0.0005	75	1384
11	4438.075156677452	4435.320623224432	25	TARGET	1	100	100	1.0	0.0005	75	1384
12	4414.999662148832	4435.968616832386	25	TARGET	1	100	100	1.0	0.0005	75	1384
13	4402.605109526252	4393.026966441761	25	TARGET	1	100	100	1.0	0.0005	75	1384
14	4411.268896648779	4433.949115175189	25	TARGET	1	100	100	1.0	0.0005	75	1384
15	4391.999930950126	4465.974823922822	25	TARGET	1	100	100	1.0	0.0005	75	1384
16	4402.964413010312	4361.289484197443	25	TARGET	1	100	100	1.0	0.0005	75	1384
17	4379.359200731271	4362.868341619318	25	TARGET	1	100	100	1.0	0.0005	75	1384
18	4369.56963515362	4355.975867069129	25	TARGET	1	100	100	1.0	0.0005	75	1384
19	4373.439226246844	4366.198915423769	25	TARGET	1	100	100	1.0	0.0005	75	1384
20	4371.1553934527565	4379.952747691761	25	TARGET	1	100	100	1.0	0.0005	75	1384
21	4352.492989793771	4347.884114583333	25	TARGET	1	100	100	1.0	0.0005	75	1384
22	4351.006813742898	4351.151389382102	25	TARGET	1	100	100	1.0	0.0005	75	1384
23	4346.019179424453	4335.282455906723	25	TARGET	1	100	100	1.0	0.0005	75	1384
24	4347.299646859217	4335.733176491477	25	TARGET	1	100	100	1.0	0.0005	75	1384
25	4328.817814374211	4339.762702710701	25	TARGET	1	100	100	1.0	0.0005	75	1384
26	4335.633574514678	4353.480024857955	25	TARGET	1	100	100	1.0	0.0005	75	1384
27	4325.861243456702	4326.042709812973	25	TARGET	1	100	100	1.0	0.0005	75	1384
28	4318.855116102431	4355.001331676136	25	TARGET	1	100	100	1.0	0.0005	75	1384
29	4319.197504833491	4328.487778172348	25	TARGET	1	100	100	1.0	0.0005	75	1384
30	4319.678799715909	4326.477871981534	25	TARGET	1	100	100	1.0	0.0005	75	1384
31	4326.977734703809	4317.311752781723	25	TARGET	1	100	100	1.0	0.0005	75	1384
32	4316.6889294967905	4323.714007753314	25	TARGET	1	100	100	1.0	0.0005	75	1384
33	4309.60305200442	4320.220954663826	25	TARGET	1	100	100	1.0	0.0005	75	1384
34	4311.618219137995	4314.269398082386	25	TARGET	1	100	100	1.0	0.0005	75	1384
35	4293.070557462647	4317.071133700284	25	TARGET	1	100	100	1.0	0.0005	75	1384
36	4302.796320134943	4325.473499644886	25	TARGET	1	100	100	1.0	0.0005	75	1384
37	4300.747552428583	4299.395182291667	25	TARGET	1	100	100	1.0	0.0005	75	1384
38	4290.50413066209	4296.491225733902	25	TARGET	1	100	100	1.0	0.0005	75	1384
39	4288.034389303188	4290.568803267045	25	TARGET	1	100	100	1.0	0.0005	75	1384
40	4290.466422854851	4291.445771188447	25	TARGET	1	100	100	1.0	0.0005	75	1384
41	4287.635804661195	4269.553267045455	25	TARGET	1	100	100	1.0	0.0005	75	1384
42	4285.442629419192	4342.560458096591	25	TARGET	1	100	100	1.0	0.0005	75	1384
43	4280.168438946759	4313.268095999053	25	TARGET	1	100	100	1.0	0.0005	75	1384
44	4270.182120275016	4295.158942945076	25	TARGET	1	100	100	1.0	0.0005	75	1384
45	4285.397049104325	4274.819742838542	25	TARGET	1	100	100	1.0	0.0005	75	1384
46	4280.001565952493	4307.095207445549	25	TARGET	1	100	100	1.0	0.0005	75	1384
47	4272.6746846722435	4295.138235381155	25	TARGET	1	100	100	1.0	0.0005	75	1384
48	4270.520650022359	4283.872839725379	25	TARGET	1	100	100	1.0	0.0005	75	1384
49	4261.282785537668	4279.725082859848	25	TARGET	1	100	100	1.0	0.0005	75	1384
50	4273.019629892677	4269.683090672348	25	TARGET	1	100	100	1.0	0.0005	75	1384
51	4267.210967092803	4262.273348721591	25	TARGET	1	100	100	1.0	0.0005	75	1384
52	4257.976927477904	4296.330181699811	25	TARGET	1	100	100	1.0	0.0005	75	1384
53	4258.739945023148	4282.026722301136	25	TARGET	1	100	100	1.0	0.0005	75	1384
54	4248.461468115399	4285.241218335701	25	TARGET	1	100	100	1.0	0.0005	75	1384
55	4263.956882463963	4272.261186079545	25	TARGET	1	100	100	1.0	0.0005	75	1384
56	4250.927928372264	4279.537375710227	25	TARGET	1	100	100	1.0	0.0005	75	1384
57	4253.503987630208	4279.945874763258	25	TARGET	1	100	100	1.0	0.0005	75	1384
58	4257.283468638205	4260.221494732481	25	TARGET	1	100	100	1.0	0.0005	75	1384
59	4255.218528875999	4252.48955374053	25	TARGET	1	100	100	1.0	0.0005	75	1384
60	4243.612367161195	4270.450298887311	25	TARGET	1	100	100	1.0	0.0005	75	1384
61	4246.813852226694	4255.833799419981	25	TARGET	1	100	100	1.0	0.0005	75	1384
62	4252.6894494258995	4250.070534446023	25	TARGET	1	100	100	1.0	0.0005	75	1384
63	4244.023053204572	4259.079404888731	25	TARGET	1	100	100	1.0	0.0005	75	1384
64	4241.319068780251	4287.871256510417	25	TARGET	1	100	100	1.0	0.0005	75	1384
65	4234.038596413352	4268.109042080966	25	TARGET	1	100	100	1.0	0.0005	75	1384
66	4238.270377521964	4256.79511422822	25	TARGET	1	100	100	1.0	0.0005	75	1384
67	4232.157331781355	4248.924930456913	25	TARGET	1	100	100	1.0	0.0005	75	1384
68	4233.023619988952	4242.06650242661	25	TARGET	1	100	100	1.0	0.0005	75	1384
69	4229.621944132076	4259.475645123106	25	TARGET	1	100	100	1.0	0.0005	75	1384
70	4231.6807840777565	4244.110247987689	25	TARGET	1	100	100	1.0	0.0005	75	1384
71	4241.973470463095	4248.183157256155	25	TARGET	1	100	100	1.0	0.0005	75	1384
72	4221.149584221117	4239.891276041667	25	TARGET	1	100	100	1.0	0.0005	75	1384
73	4233.768440837411	4249.88008256392	25	TARGET	1	100	100	1.0	0.0005	75	1384
74	4236.096524325284	4255.599335641572	25	TARGET	1	100	100	1.0	0.0005	75	1384
75	4225.8225862137	4254.621463660038	25	TARGET	1	100	100	1.0	0.0005	75	1384
76	4228.318087696628	4236.28837446733	25	TARGET	1	100	100	1.0	0.0005	75	1384
77	4221.824580439815	4239.441295276989	25	TARGET	1	100	100	1.0	0.0005	75	1384
78	4221.095532555371	4246.95293264678	25	TARGET	1	100	100	1.0	0.0005	75	1384
79	4222.290979456018	4257.020197088068	25	TARGET	1	100	100	1.0	0.0005	75	1384
80	4221.2174528488	4263.202030066288	25	TARGET	1	100	100	1.0	0.0005	75	1384
81	4214.630733194576	4241.723181522254	25	TARGET	1	100	100	1.0	0.0005	75	1384
82	4232.020989517571	4237.207238399621	25	TARGET	1	100	100	1.0	0.0005	75	1384
83	4211.753779247553	4252.543175899621	25	TARGET	1	100	100	1.0	0.0005	75	1384
84	4216.829298025831	4250.782004616477	25	TARGET	1	100	100	1.0	0.0005	75	1384
85	4207.052536678635	4266.21269827178	25	TARGET	1	100	100	1.0	0.0005	75	1384
86	4211.016736374158	4254.563343394886	25	TARGET	1	100	100	1.0	0.0005	75	1384
87	4213.420662517098	4249.572125059186	25	TARGET	1	100	100	1.0	0.0005	75	1384
88	4211.9217455314865	4232.038248697917	25	TARGET	1	100	100	1.0	0.0005	75	1384
89	4206.748674900042	4244.993659741951	25	TARGET	1	100	100	1.0	0.0005	75	1384
90	4206.721948488795	4250.079863577178	25	TARGET	1	100	100	1.0	0.0005	75	1384
91	4211.66685326573	4237.944935191761	25	TARGET	1	100	100	1.0	0.0005	75	1384
92	4219.218565044981	4227.401308001894	25	TARGET	1	100	100	1.0	0.0005	75	1384
93	4218.19363351944	4228.564823035038	25	TARGET	1	100	100	1.0	0.0005	75	1384
94	4209.894760183212	4235.683778705019	25	TARGET	1	100	100	1.0	0.0005	75	1384
95	4203.384007720433	4234.504032019413	25	TARGET	1	100	100	1.0	0.0005	75	1384
96	4208.699214228877	4226.23418264678	25	TARGET	1	100	100	1.0	0.0005	75	1384
97	4207.631852377946	4226.049153645833	25	TARGET	1	100	100	1.0	0.0005	75	1384
98	4201.722093986742	4245.229906486742	25	TARGET	1	100	100	1.0	0.0005	75	1384
99	4201.818805733113	4235.057410037879	25	TARGET	1	100	100	1.0	0.0005	75	1384
