	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2953.5551563786244	2850.8695675643844	125	0.001	50	100	0.5	3860	1	100
1	2621.8745221558365	2607.8363951103174	125	0.001	50	100	0.5	3860	1	100
2	2583.7389961495596	2565.6763259657664	125	0.001	50	100	0.5	3860	1	100
3	2565.825605274724	2592.885125088332	125	0.001	50	100	0.5	3860	1	100
4	2550.191831036702	2553.32478922935	125	0.001	50	100	0.5	3860	1	100
5	2539.4980252923037	2531.4020971557	125	0.001	50	100	0.5	3860	1	100
6	2531.3826853201476	2524.436413022142	125	0.001	50	100	0.5	3860	1	100
7	2525.187659254137	2520.364443064934	125	0.001	50	100	0.5	3860	1	100
8	2519.5344633146487	2518.1522038905464	125	0.001	50	100	0.5	3860	1	100
9	2515.324459974781	2515.090406868326	125	0.001	50	100	0.5	3860	1	100
10	2512.03886563965	2508.838838970242	125	0.001	50	100	0.5	3860	1	100
11	2508.6646835475326	2505.6917141861654	125	0.001	50	100	0.5	3860	1	100
12	2505.6692542284645	2503.971039278423	125	0.001	50	100	0.5	3860	1	100
13	2502.886662258928	2502.2331604310616	125	0.001	50	100	0.5	3860	1	100
14	2500.8368465348217	2495.757092346498	125	0.001	50	100	0.5	3860	1	100
15	2497.8587454229423	2495.649529385207	125	0.001	50	100	0.5	3860	1	100
16	2496.325174383825	2493.516378278109	125	0.001	50	100	0.5	3860	1	100
17	2494.218637617375	2490.8775370995604	125	0.001	50	100	0.5	3860	1	100
18	2492.348010347922	2497.6866829263504	125	0.001	50	100	0.5	3860	1	100
19	2490.3682130595803	2489.018218534077	125	0.001	50	100	0.5	3860	1	100
20	2488.994341545731	2487.1649028835586	125	0.001	50	100	0.5	3860	1	100
21	2488.172579271717	2488.0971937323334	125	0.001	50	100	0.5	3860	1	100
22	2486.422097775936	2486.9581587134894	125	0.001	50	100	0.5	3860	1	100
23	2485.1797691163824	2483.2020993640076	125	0.001	50	100	0.5	3860	1	100
