	loss	val_loss	batch_size	dataset	depth	epochs	first_layer	kappa	learning_rate	num_components	seed
0	5517.286948258628	5495.916089607008	50	TARGET	1	100	100	1.0	0.0005	25	7566
1	5409.1895731402565	6794.869214607008	50	TARGET	1	100	100	1.0	0.0005	25	7566
2	5311.322661839752	5926.227479876894	50	TARGET	1	100	100	1.0	0.0005	25	7566
3	5225.585445930661	6259.472789417614	50	TARGET	1	100	100	1.0	0.0005	25	7566
4	5148.71537477641	5965.964947324811	50	TARGET	1	100	100	1.0	0.0005	25	7566
5	5069.457414312395	5768.11113577178	50	TARGET	1	100	100	1.0	0.0005	25	7566
6	5007.2875368265995	6051.005385890152	50	TARGET	1	100	100	1.0	0.0005	25	7566
7	4952.727876091646	6433.90302438447	50	TARGET	1	100	100	1.0	0.0005	25	7566
8	4903.749876696654	5905.593113754735	50	TARGET	1	100	100	1.0	0.0005	25	7566
9	4861.537520386153	5318.376479640152	50	TARGET	1	100	100	1.0	0.0005	25	7566
10	4817.676192261153	5318.403793797348	50	TARGET	1	100	100	1.0	0.0005	25	7566
11	4779.224193431713	5038.473233309659	50	TARGET	1	100	100	1.0	0.0005	25	7566
12	4752.0669257680975	4982.163603811553	50	TARGET	1	100	100	1.0	0.0005	25	7566
13	4731.044704861111	4907.62890625	50	TARGET	1	100	100	1.0	0.0005	25	7566
14	4697.278982862479	4812.439438328598	50	TARGET	1	100	100	1.0	0.0005	25	7566
15	4674.526809435501	4813.058934067235	50	TARGET	1	100	100	1.0	0.0005	25	7566
16	4654.86018058186	4804.053311434659	50	TARGET	1	100	100	1.0	0.0005	25	7566
17	4650.129665798611	4924.648541074811	50	TARGET	1	100	100	1.0	0.0005	25	7566
18	4629.923070220433	4902.590450402462	50	TARGET	1	100	100	1.0	0.0005	25	7566
19	4617.57517065183	4764.496478456439	50	TARGET	1	100	100	1.0	0.0005	25	7566
20	4608.596556384154	4761.597005208333	50	TARGET	1	100	100	1.0	0.0005	25	7566
21	4595.559629498106	4706.817116477273	50	TARGET	1	100	100	1.0	0.0005	25	7566
22	4577.776743673717	4668.395774147727	50	TARGET	1	100	100	1.0	0.0005	25	7566
23	4579.212750881208	4665.396987452652	50	TARGET	1	100	100	1.0	0.0005	25	7566
24	4556.750887784091	4627.209886955492	50	TARGET	1	100	100	1.0	0.0005	25	7566
25	4549.648450652357	4715.148585464015	50	TARGET	1	100	100	1.0	0.0005	25	7566
26	4538.220691616688	4611.404962713068	50	TARGET	1	100	100	1.0	0.0005	25	7566
27	4530.852553858902	4684.510357481061	50	TARGET	1	100	100	1.0	0.0005	25	7566
28	4505.85446752683	4673.187899502841	50	TARGET	1	100	100	1.0	0.0005	25	7566
29	4504.806283867319	4640.987822561553	50	TARGET	1	100	100	1.0	0.0005	25	7566
30	4498.5449235190445	4594.491566051136	50	TARGET	1	100	100	1.0	0.0005	25	7566
31	4496.118976220539	4563.837846235795	50	TARGET	1	100	100	1.0	0.0005	25	7566
32	4492.7485335122055	4579.933860085227	50	TARGET	1	100	100	1.0	0.0005	25	7566
33	4475.182142058607	4546.438550544508	50	TARGET	1	100	100	1.0	0.0005	25	7566
34	4469.101791022201	4612.689112807765	50	TARGET	1	100	100	1.0	0.0005	25	7566
35	4461.994188302294	4545.390284682765	50	TARGET	1	100	100	1.0	0.0005	25	7566
36	4466.911801938658	4560.319661458333	50	TARGET	1	100	100	1.0	0.0005	25	7566
37	4471.660083912037	4569.111402107008	50	TARGET	1	100	100	1.0	0.0005	25	7566
38	4458.361481021149	4530.862807765152	50	TARGET	1	100	100	1.0	0.0005	25	7566
39	4446.172225181503	4538.717950994318	50	TARGET	1	100	100	1.0	0.0005	25	7566
40	4449.3295881997055	4546.664180871212	50	TARGET	1	100	100	1.0	0.0005	25	7566
41	4454.592937841961	4570.321348248106	50	TARGET	1	100	100	1.0	0.0005	25	7566
42	4453.235060566603	4550.758892637311	50	TARGET	1	100	100	1.0	0.0005	25	7566
43	4441.463022148569	4528.559629498106	50	TARGET	1	100	100	1.0	0.0005	25	7566
44	4434.786550399832	4511.472212357955	50	TARGET	1	100	100	1.0	0.0005	25	7566
45	4440.86765112058	4534.823804450758	50	TARGET	1	100	100	1.0	0.0005	25	7566
46	4418.991265190973	4508.550736860795	50	TARGET	1	100	100	1.0	0.0005	25	7566
47	4420.153951625632	4541.775153882576	50	TARGET	1	100	100	1.0	0.0005	25	7566
48	4425.72261350484	4488.563757694129	50	TARGET	1	100	100	1.0	0.0005	25	7566
49	4428.623189906882	4503.190592447917	50	TARGET	1	100	100	1.0	0.0005	25	7566
50	4417.140128498527	4510.048265861742	50	TARGET	1	100	100	1.0	0.0005	25	7566
51	4411.870445996423	4511.087579900568	50	TARGET	1	100	100	1.0	0.0005	25	7566
52	4423.418149594908	4496.160762902462	50	TARGET	1	100	100	1.0	0.0005	25	7566
53	4411.272017045455	4498.808357007576	50	TARGET	1	100	100	1.0	0.0005	25	7566
54	4423.486975878577	4516.929657907197	50	TARGET	1	100	100	1.0	0.0005	25	7566
55	4415.892216435185	4493.098040956439	50	TARGET	1	100	100	1.0	0.0005	25	7566
56	4407.787497369529	4482.073330965909	50	TARGET	1	100	100	1.0	0.0005	25	7566
57	4399.6592997027565	4475.947990648674	50	TARGET	1	100	100	1.0	0.0005	25	7566
58	4399.407134496002	4481.8662109375	50	TARGET	1	100	100	1.0	0.0005	25	7566
59	4403.205045244108	4488.120072798295	50	TARGET	1	100	100	1.0	0.0005	25	7566
60	4389.068068379103	4500.685191761364	50	TARGET	1	100	100	1.0	0.0005	25	7566
61	4393.561936092698	4492.263553503788	50	TARGET	1	100	100	1.0	0.0005	25	7566
62	4392.074116819234	4515.24140329072	50	TARGET	1	100	100	1.0	0.0005	25	7566
