	loss	val_loss	batch_size	dataset	depth	epochs	first_layer	kappa	learning_rate	num_components	seed
0	4925.04994699159	4624.682830657192	150	TCGA	1	100	100	1.0	0.002	5	9300
1	3777.0091443049587	3942.033788326398	150	TCGA	1	100	100	1.0	0.002	5	9300
2	3049.152649586615	2851.571130800487	150	TCGA	1	100	100	1.0	0.002	5	9300
3	2569.752131509254	2522.8408534371074	150	TCGA	1	100	100	1.0	0.002	5	9300
4	2319.898073128497	2446.785796659077	150	TCGA	1	100	100	1.0	0.002	5	9300
5	2198.881973963202	2168.948050800879	150	TCGA	1	100	100	1.0	0.002	5	9300
6	2151.8696816639517	2208.773298867384	150	TCGA	1	100	100	1.0	0.002	5	9300
7	2110.284810490847	2110.173004917164	150	TCGA	1	100	100	1.0	0.002	5	9300
8	2085.089739215628	2056.7896710113064	150	TCGA	1	100	100	1.0	0.002	5	9300
9	2062.207956935109	2048.404536108276	150	TCGA	1	100	100	1.0	0.002	5	9300
10	2048.257020793838	2057.829983658527	150	TCGA	1	100	100	1.0	0.002	5	9300
11	2032.3252695438944	2043.4714631507145	150	TCGA	1	100	100	1.0	0.002	5	9300
12	2026.9675445028654	2041.9184637788553	150	TCGA	1	100	100	1.0	0.002	5	9300
13	2020.064498756597	2014.4694014506124	150	TCGA	1	100	100	1.0	0.002	5	9300
14	2014.016201819356	2030.5536042026538	150	TCGA	1	100	100	1.0	0.002	5	9300
15	2007.6898723388972	2006.368971321451	150	TCGA	1	100	100	1.0	0.002	5	9300
16	2003.3436247004583	2002.3667341836133	150	TCGA	1	100	100	1.0	0.002	5	9300
17	1999.2941781303848	1984.3592970958307	150	TCGA	1	100	100	1.0	0.002	5	9300
18	1990.8365853896482	1996.1665959190484	150	TCGA	1	100	100	1.0	0.002	5	9300
19	1990.0417060123941	1990.7939146415672	150	TCGA	1	100	100	1.0	0.002	5	9300
20	1981.1823190901346	1979.256538429452	150	TCGA	1	100	100	1.0	0.002	5	9300
21	1979.5096065616192	1977.0840174996074	150	TCGA	1	100	100	1.0	0.002	5	9300
22	1975.7039267481111	1976.1040333503454	150	TCGA	1	100	100	1.0	0.002	5	9300
23	1971.6965289656134	1980.9591082855684	150	TCGA	1	100	100	1.0	0.002	5	9300
24	1966.8365144556103	1973.8279636708935	150	TCGA	1	100	100	1.0	0.002	5	9300
25	1967.061672867695	1968.9834107058732	150	TCGA	1	100	100	1.0	0.002	5	9300
26	1960.1344324012516	1971.7429677685302	150	TCGA	1	100	100	1.0	0.002	5	9300
27	1957.6028902037015	1958.284596812186	150	TCGA	1	100	100	1.0	0.002	5	9300
28	1955.9906092108406	1955.5996658095164	150	TCGA	1	100	100	1.0	0.002	5	9300
29	1954.3633535602075	1956.0878912384187	150	TCGA	1	100	100	1.0	0.002	5	9300
30	1950.2534881806398	1951.5790095497016	150	TCGA	1	100	100	1.0	0.002	5	9300
31	1948.8935491964478	1951.1412678627512	150	TCGA	1	100	100	1.0	0.002	5	9300
32	1944.2330495581216	1945.295526092376	150	TCGA	1	100	100	1.0	0.002	5	9300
33	1943.6811413343949	1944.7010461241755	150	TCGA	1	100	100	1.0	0.002	5	9300
34	1939.7851558003606	1943.2774038650282	150	TCGA	1	100	100	1.0	0.002	5	9300
35	1939.4310281342434	1940.2910162384187	150	TCGA	1	100	100	1.0	0.002	5	9300
36	1937.4591787146437	1935.419130564934	150	TCGA	1	100	100	1.0	0.002	5	9300
37	1934.512893412765	1936.633842429923	150	TCGA	1	100	100	1.0	0.002	5	9300
38	1931.9687739807734	1933.898492707679	150	TCGA	1	100	100	1.0	0.002	5	9300
39	1931.6294912991214	1936.9070345624607	150	TCGA	1	100	100	1.0	0.002	5	9300
40	1929.3723930037838	1930.0912766959798	150	TCGA	1	100	100	1.0	0.002	5	9300
41	1926.878787354415	1933.202757562225	150	TCGA	1	100	100	1.0	0.002	5	9300
42	1926.3156431845116	1924.3101450857805	150	TCGA	1	100	100	1.0	0.002	5	9300
43	1925.007235680644	1925.352610219064	150	TCGA	1	100	100	1.0	0.002	5	9300
44	1923.437967352575	1920.108264712233	150	TCGA	1	100	100	1.0	0.002	5	9300
45	1922.970519222443	1922.6426038885836	150	TCGA	1	100	100	1.0	0.002	5	9300
46	1921.4622390019813	1920.68797907997	150	TCGA	1	100	100	1.0	0.002	5	9300
47	1919.714437998037	1920.0411376953125	150	TCGA	1	100	100	1.0	0.002	5	9300
48	1918.5177736909332	1921.7939624882224	150	TCGA	1	100	100	1.0	0.002	5	9300
49	1917.8303841796221	1917.7071698826162	150	TCGA	1	100	100	1.0	0.002	5	9300
50	1916.0499716536356	1916.9743621672817	150	TCGA	1	100	100	1.0	0.002	5	9300
51	1914.7257944203498	1916.5900866637876	150	TCGA	1	100	100	1.0	0.002	5	9300
52	1913.3720976723826	1915.813356945862	150	TCGA	1	100	100	1.0	0.002	5	9300
53	1911.8805875883581	1915.8640449562265	150	TCGA	1	100	100	1.0	0.002	5	9300
54	1911.7358963075712	1914.8729978015076	150	TCGA	1	100	100	1.0	0.002	5	9300
55	1911.0240553728052	1911.1321432602465	150	TCGA	1	100	100	1.0	0.002	5	9300
56	1909.9006485681953	1908.912228991638	150	TCGA	1	100	100	1.0	0.002	5	9300
57	1908.628498794857	1907.7353092366127	150	TCGA	1	100	100	1.0	0.002	5	9300
58	1907.7975798712364	1907.6336326407427	150	TCGA	1	100	100	1.0	0.002	5	9300
59	1907.0397300920338	1906.4333704656092	150	TCGA	1	100	100	1.0	0.002	5	9300
60	1905.6321884548709	1906.1263035146435	150	TCGA	1	100	100	1.0	0.002	5	9300
61	1905.1586443712329	1906.9617717493718	150	TCGA	1	100	100	1.0	0.002	5	9300
