algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	signal	geneset_name
dae	real	0.6984126984126984	42	50.5764	tcga	40	signal	gpc6
ica	real	0.30158730158730157	611	34.1367	tcga	40	signal	gpc6
nmf	real	0.4074074074074074	1031	67.9359	tcga	40	signal	gpc6
pca	real	0.3439153439153439	1205	31.6713	tcga	40	signal	gpc6
vae	real	0.746031746031746	1753	56.3745	tcga	40	signal	gpc6
dae	real	0.8783068783068783	557	64.2034	tcga	90	signal	gpc6
ica	real	0.7936507936507936	1491	93.9497	tcga	90	signal	gpc6
nmf	real	0.7566137566137566	2325	97.9019	tcga	90	signal	gpc6
pca	real	0.6772486772486772	3496	89.4112	tcga	90	signal	gpc6
vae	real	0.9047619047619048	3836	89.4958	tcga	90	signal	gpc6
dae	real	0.06349206349206349	27	35.5117	tcga	6	signal	gpc6
ica	real	0.06349206349206349	37	34.0582	tcga	6	signal	gpc6
nmf	real	0.0582010582010582	72	39.74	tcga	6	signal	gpc6
pca	real	0.0582010582010582	90	31.6713	tcga	6	signal	gpc6
vae	real	0.15343915343915343	135	40.2718	tcga	6	signal	gpc6
dae	real	0.164021164021164	137	48.3168	tcga	14	signal	gpc6
ica	real	0.1693121693121693	258	28.5188	tcga	14	signal	gpc6
nmf	real	0.13756613756613756	284	43.6396	tcga	14	signal	gpc6
pca	real	0.12698412698412698	420	31.6713	tcga	14	signal	gpc6
vae	real	0.4708994708994709	649	59.6624	tcga	14	signal	gpc6
dae	real	0.5079365079365079	91	44.5577	tcga	35	signal	gpc6
ica	real	0.35978835978835977	450	45.8321	tcga	35	signal	gpc6
nmf	real	0.328042328042328	899	84.7592	tcga	35	signal	gpc6
pca	real	0.291005291005291	1052	31.6713	tcga	35	signal	gpc6
vae	real	0.7671957671957672	1550	89.4377	tcga	35	signal	gpc6
dae	real	0.12169312169312169	38	61.2615	tcga	9	signal	gpc6
ica	real	0.14285714285714285	61	29.5278	tcga	9	signal	gpc6
nmf	real	0.07936507936507936	102	53.4856	tcga	9	signal	gpc6
pca	real	0.07936507936507936	137	31.6713	tcga	9	signal	gpc6
vae	real	0.21693121693121692	182	54.1384	tcga	9	signal	gpc6
dae	real	0.9470899470899471	535	57.3616	tcga	150	signal	gpc6
ica	real	0.8835978835978836	1192	54.2734	tcga	150	signal	gpc6
nmf	real	0.9153439153439153	2112	134.414	tcga	150	signal	gpc6
pca	real	0.8042328042328042	3178	49.2736	tcga	150	signal	gpc6
vae	real	0.8571428571428571	3896	83.9705	tcga	150	signal	gpc6
dae	real	0.14814814814814814	37	47.3192	tcga	12	signal	gpc6
ica	real	0.12169312169312169	157	31.3533	tcga	12	signal	gpc6
nmf	real	0.10582010582010581	262	88.4576	tcga	12	signal	gpc6
pca	real	0.10582010582010581	365	31.6713	tcga	12	signal	gpc6
vae	real	0.49206349206349204	555	40.9657	tcga	12	signal	gpc6
dae	real	0.05291005291005291	6	33.2069	tcga	2	signal	gpc6
ica	real	0.021164021164021163	10	43.0731	tcga	2	signal	gpc6
nmf	real	0.021164021164021163	24	21.0418	tcga	2	signal	gpc6
pca	real	0.021164021164021163	34	31.6713	tcga	2	signal	gpc6
vae	real	0.015873015873015872	43	49.0582	tcga	2	signal	gpc6
dae	real	0.0582010582010582	49	35.3148	tcga	10	signal	gpc6
ica	real	0.1746031746031746	66	24.846	tcga	10	signal	gpc6
nmf	real	0.10052910052910052	110	106.314	tcga	10	signal	gpc6
pca	real	0.08994708994708994	150	31.6713	tcga	10	signal	gpc6
vae	real	0.2857142857142857	248	127.416	tcga	10	signal	gpc6
dae	real	0.0582010582010582	11	41.1855	tcga	5	signal	gpc6
ica	real	0.05291005291005291	33	33.1871	tcga	5	signal	gpc6
nmf	real	0.05291005291005291	62	38.7445	tcga	5	signal	gpc6
pca	real	0.047619047619047616	78	31.6713	tcga	5	signal	gpc6
vae	real	0.10582010582010581	110	37.6101	tcga	5	signal	gpc6
dae	real	0.9047619047619048	730	60.4453	tcga	100	signal	gpc6
ica	real	0.8465608465608465	1600	41.3482	tcga	100	signal	gpc6
nmf	real	0.7724867724867724	2973	116.86	tcga	100	signal	gpc6
pca	real	0.6878306878306878	3864	160.543	tcga	100	signal	gpc6
vae	real	0.9206349206349206	4140	106.764	tcga	100	signal	gpc6
dae	real	0.20105820105820105	128	48.5145	tcga	16	signal	gpc6
ica	real	0.17989417989417988	197	28.6189	tcga	16	signal	gpc6
nmf	real	0.13756613756613756	330	39.39	tcga	16	signal	gpc6
pca	real	0.14814814814814814	488	31.6713	tcga	16	signal	gpc6
vae	real	0.5291005291005291	688	112.14200000000001	tcga	16	signal	gpc6
dae	real	0.042328042328042326	8	40.5589	tcga	3	signal	gpc6
ica	real	0.031746031746031744	27	25.9294	tcga	3	signal	gpc6
nmf	real	0.031746031746031744	41	40.7346	tcga	3	signal	gpc6
pca	real	0.031746031746031744	48	31.6713	tcga	3	signal	gpc6
vae	real	0.031746031746031744	62	68.6727	tcga	3	signal	gpc6
dae	real	0.2751322751322751	160	148.446	tcga	18	signal	gpc6
ica	real	0.15343915343915343	288	61.2799	tcga	18	signal	gpc6
nmf	real	0.1746031746031746	363	43.8419	tcga	18	signal	gpc6
pca	real	0.164021164021164	543	31.6713	tcga	18	signal	gpc6
vae	real	0.5873015873015873	774	40.4387	tcga	18	signal	gpc6
dae	real	0.7513227513227513	113	47.3563	tcga	50	signal	gpc6
ica	real	0.5396825396825397	555	78.0657	tcga	50	signal	gpc6
nmf	real	0.5555555555555556	1080	97.4698	tcga	50	signal	gpc6
pca	real	0.42857142857142855	1972	35.2591	tcga	50	signal	gpc6
vae	real	0.8306878306878307	2083	56.6718	tcga	50	signal	gpc6
dae	real	0.4497354497354497	273	40.3194	tcga	30	signal	gpc6
ica	real	0.2857142857142857	443	28.8698	tcga	30	signal	gpc6
nmf	real	0.25925925925925924	797	73.8301	tcga	30	signal	gpc6
pca	real	0.24867724867724866	903	31.6713	tcga	30	signal	gpc6
vae	real	0.7566137566137566	1291	75.9722	tcga	30	signal	gpc6
dae	real	0.05291005291005291	34	36.7946	tcga	7	signal	gpc6
ica	real	0.12698412698412698	55	77.5744	tcga	7	signal	gpc6
nmf	real	0.0582010582010582	81	44.7127	tcga	7	signal	gpc6
pca	real	0.06349206349206349	108	31.6713	tcga	7	signal	gpc6
vae	real	0.1693121693121693	141	43.0069	tcga	7	signal	gpc6
dae	real	0.8518518518518519	174	43.7123	tcga	60	signal	gpc6
ica	real	0.5661375661375662	1043	50.4983	tcga	60	signal	gpc6
nmf	real	0.6402116402116402	1365	231.80700000000002	tcga	60	signal	gpc6
pca	real	0.5238095238095238	2311	60.1855	tcga	60	signal	gpc6
