algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	signal	geneset_name
dae	322528	real	0.19576719576719576	110	31.1104	tcga	40	signal	gpc6
dae	418917	real	0.19047619047619047	141	25.0592	tcga	40	signal	gpc6
dae	469675	real	0.2275132275132275	42	50.5764	tcga	40	signal	gpc6
dae	527376	real	0.21693121693121692	343	37.6635	tcga	40	signal	gpc6
dae	538086	real	0.20634920634920634	244	29.08	tcga	40	signal	gpc6
dae	620645	real	0.21693121693121692	335	44.2754	tcga	40	signal	gpc6
dae	639345	real	0.20634920634920634	96	25.857	tcga	40	signal	gpc6
dae	662250	real	0.21693121693121692	117	27.2184	tcga	40	signal	gpc6
dae	814470	real	0.14814814814814814	388	29.2223	tcga	40	signal	gpc6
dae	848795	real	0.21693121693121692	159	26.5984	tcga	40	signal	gpc6
ica	322528	real	0.2751322751322751	590	34.0322	tcga	40	signal	gpc6
ica	418917	real	0.2804232804232804	611	34.1367	tcga	40	signal	gpc6
ica	469675	real	0.2804232804232804	552	34.0553	tcga	40	signal	gpc6
ica	527376	real	0.2804232804232804	543	33.6797	tcga	40	signal	gpc6
ica	538086	real	0.2857142857142857	504	33.7837	tcga	40	signal	gpc6
ica	620645	real	0.2751322751322751	775	33.3053	tcga	40	signal	gpc6
ica	639345	real	0.2804232804232804	516	32.8544	tcga	40	signal	gpc6
ica	662250	real	0.2751322751322751	487	31.5598	tcga	40	signal	gpc6
ica	814470	real	0.2751322751322751	678	33.9312	tcga	40	signal	gpc6
ica	848795	real	0.2804232804232804	609	33.9744	tcga	40	signal	gpc6
nmf	322528	real	0.31216931216931215	990	55.1627	tcga	40	signal	gpc6
nmf	418917	real	0.30158730158730157	1031	67.9359	tcga	40	signal	gpc6
nmf	469675	real	0.30158730158730157	1152	63.3761	tcga	40	signal	gpc6
nmf	527376	real	0.2962962962962963	1033	51.4029	tcga	40	signal	gpc6
nmf	538086	real	0.2962962962962963	924	52.513000000000005	tcga	40	signal	gpc6
nmf	620645	real	0.30158730158730157	995	56.9501	tcga	40	signal	gpc6
nmf	639345	real	0.291005291005291	1036	64.3021	tcga	40	signal	gpc6
nmf	662250	real	0.2962962962962963	1037	57.0909	tcga	40	signal	gpc6
nmf	814470	real	0.2962962962962963	1158	64.4337	tcga	40	signal	gpc6
nmf	848795	real	0.30158730158730157	1039	66.0495	tcga	40	signal	gpc6
pca	322528	real	0.291005291005291	1200	31.6713	tcga	40	signal	gpc6
pca	418917	real	0.2857142857142857	1201	31.6713	tcga	40	signal	gpc6
pca	469675	real	0.2962962962962963	1202	31.6713	tcga	40	signal	gpc6
pca	527376	real	0.2857142857142857	1203	31.6713	tcga	40	signal	gpc6
pca	538086	real	0.291005291005291	1204	31.6713	tcga	40	signal	gpc6
pca	620645	real	0.291005291005291	1205	31.6713	tcga	40	signal	gpc6
pca	639345	real	0.291005291005291	1206	31.6713	tcga	40	signal	gpc6
pca	662250	real	0.2804232804232804	1207	31.6713	tcga	40	signal	gpc6
pca	814470	real	0.2962962962962963	1208	31.6713	tcga	40	signal	gpc6
pca	848795	real	0.2804232804232804	1209	31.6713	tcga	40	signal	gpc6
