variable	pval	odds	full_feature	tailed
Keratinocytes_FANTOM_3	2.4554257218339045e-22	18.497297297297298	vae_1_three	neg
Keratinocytes_FANTOM_2	1.569033608576905e-21	18.27417695473251	vae_1_three	neg
Keratinocytes_FANTOM_1	1.0697780112042908e-19	11.363559560687131	vae_1_three	neg
Keratinocytes_HPCA_3	3.0810310332808165e-19	22.059012066365007	vae_1_three	neg
Skeletal-muscle_FANTOM_2	1.83313010049103e-18	26.294401818698493	vae_0_two	pos
Keratinocytes_HPCA_2	1.561196550969603e-17	17.05444460662677	vae_1_three	neg
Skeletal-muscle_FANTOM_3	1.7421333762849406e-17	22.69172193564235	vae_0_two	pos
Skeletal-muscle_FANTOM_1	5.018090870706434e-17	19.00392156862745	vae_0_two	pos
Keratinocytes_ENCODE_1	1.7732556538166565e-15	32.535885167464116	vae_1_three	neg
Sebocytes_FANTOM_2	3.283157354099012e-13	28.221343873517785	vae_1_three	neg
Sebocytes_FANTOM_3	6.869861725090741e-13	17.86315789473684	vae_1_three	neg
Sebocytes_FANTOM_1	2.467872144043205e-12	18.533478893740902	vae_1_three	neg
Keratinocytes_ENCODE_2	7.706157465832513e-11	30.114270386266096	vae_1_three	neg
Neutrophils_HPCA_3	9.580195620644391e-11	94.68229166666667	vae_0_three	pos
Hepatocytes_FANTOM_2	1.9278217427968554e-10	4.388382994773425	vae_2_three	neg
Hepatocytes_FANTOM_3	3.168136038113813e-10	4.408900786347666	vae_2_three	neg
Neutrophils_HPCA_1	9.704015051835163e-10	119.9076923076923	vae_0_three	pos
Keratinocytes_HPCA_1	2.06891690848822e-09	24.226020892687558	vae_1_three	neg
Hepatocytes_FANTOM_1	2.154059714914378e-09	3.8297560080719135	vae_2_three	neg
Neurons_FANTOM_1	4.251199010420271e-09	4.898115953747878	vae_1_two	neg
Neurons_FANTOM_3	2.6725896392641772e-08	3.750097699502384	vae_1_two	neg
Monocytes_NOVERSHTERN_1	2.7062578099013496e-08	11.586213991769547	vae_0_three	pos
Myocytes_FANTOM_2	6.383098022725247e-08	19.584	vae_0_two	pos
Neutrophils_IRIS_3	7.878773017825089e-08	39.90769230769231	vae_0_three	pos
Neutrophils_HPCA_2	9.199332744121036e-08	78.71212121212122	vae_0_three	pos
Neutrophils_BLUEPRINT_1	9.199332744121036e-08	78.71212121212122	vae_0_three	pos
Neurons_ENCODE_1	3.192474273752138e-07	36.37341772151899	vae_1_two	neg
Neurons_FANTOM_2	3.7392425422899576e-07	3.1163475699558174	vae_1_two	neg
Keratinocytes_FANTOM_3	6.180633831101337e-07	5.463945578231293	vae_2_three	neg
Myocytes_FANTOM_3	6.348994674667966e-07	49.34738955823293	vae_0_two	pos
Hepatocytes_HPCA_3	8.292337494695312e-07	3.5280273855370132	vae_2_three	neg
Neutrophils_IRIS_2	1.497300674421997e-06	35.73691460055097	vae_0_three	pos
Keratinocytes_FANTOM_2	2.2180625164527387e-06	5.210307851954341	vae_2_three	neg
Keratinocytes_ENCODE_3	3.2093643067632644e-06	25.74453781512605	vae_1_three	neg
Hepatocytes_HPCA_1	3.2510255663859447e-06	3.2312123592563498	vae_2_three	neg
Neutrophils_BLUEPRINT_2	3.6208298963458797e-06	62.02985074626866	vae_0_three	pos
Neutrophils_IRIS_1	3.6208298963458797e-06	62.02985074626866	vae_0_three	pos
Neutrophils_BLUEPRINT_3	3.6208298963458797e-06	62.02985074626866	vae_0_three	pos
Neutrophils_IRIS_3	7.739248936534277e-06	13.693901035673187	vae_1_three	neg
Myocytes_FANTOM_2	8.295333891211113e-06	127.575	vae_1_two	pos
Keratinocytes_HPCA_3	9.112584290283918e-06	5.792905081495686	vae_2_three	neg
